Review,Original summary,s
i recently visited paris and when i came back to the states i could not drink the coffee so i found a french website that had some great brands but it cost and arm and a leg to send them here lavazza was one of the italian coffees on the french website and i found it here on amazon so now i can have excellent espresso for a decent price thank you amazon ,best coffee ever , good coffee
i just used this to make myself an espresso and it was one of the best tastes of coffee that i have ever had i was absolutely surprised but it was sooo good i cannot wait until the morning so i can have another cup or two yum ,better than pricey coffee coffee , great taste
i buy lavazza regular espresso in the black can pretty regularly as i consider it the smoothest tasting of all in the supermarket br this decaf in the green can is just as good but lacks the kick of caffeine br br one reviewer loves bustelo well it is a matter of taste i found bustelo to be harsh and unpleasant br c est la ,it is a of taste , not as good as i be
this is the coffee that our friends who are originally from italy use every day they highly recommend it they also use lavazza crema e aroma coffee beans pound bag i have had both of these at their house and both kinds are excellent we get it using the subscription option which gives you a great discount and free shipping ,great coffee , great coffee
i looked all over town and could t find any decaf expresso fortunately amazon provided me with the lavazza alternative and it was a tasty and welcome experience the can is pop top so no cut fingers the product is tasty it is a win win situation i highly recommend lavazza decaffeinated ground coffee ,good decaf espresso , good coffee
we have only used this once but it kept us awake most of the night we were surprised because it is decaf but we could not sleep for hours after going to bed tastes good though ,decaf espresso , great taste
i was but left the color of the bean grounds says it all a light brown not the typical dark brown to black of real espresso even decaf taste is weak and odd not rich and solid certainly not worth the extra recommend cafe bustelo instead ,just not real espresso , not as good as it is
here at amazon and on other sites i used reviewers comments to base my decision to purchase it i am a lover of starbucks espresso decaf coffee i have my own breville espresso machine at home i have been using starbucks for years my coffee arrived and i was eager to give it a try i opened the tin to find brown coffee while i already knew i would be disappointed because i already know i prefer black coffee beans to brown while it pulled a decent looking cup i put it to my mouth only to find it did not match my tastebuds one sip was all it took for me to hand it off to my husband so my verdict here is if you are like me and enjoy only black bean coffee do not buy this product if you prefer brown bean coffee give it a go ,nothing like coffee , great coffee
t may be expresso grind but if you are expecting lovely dark aromatic coffee for your espresso maker think again bitter when drunk on own marginally better when combined with milk in i known ,do not be by the espresso , not as good as it is
the jelly belly people actually put real licorice in these jelly beans there is usually only one of the licorice beans in a bag of assorted beans so if you love licorice you can buy them solo these are authentic tasting and really good you cannot beat jelly belly for flavor ,the black bean , delicious
i have met the creator of the jelly belly and i can report with full confidence that this is one tasty licorice jelly bean a jelly belly is smaller than jelly beans and that is why liked them so much my personal favorite flavor is licorice stars ,this is an amazing jelly bean , delicious
these jelly beans were very unusual when they showed up they came in a package without a jelly belly logo the jelly beans themselves had no jelly belly logo and i do not really know if they were actually jelly i got them as a gift so i did not try any of them but it was odd giving a gift where it did not seem like they were anything special like i would bagged up some licorice jelly beans from the grocery store or something big so i was disappointed and because they were a gift i had no idea what they tasted like so were they really jelly who knows i felt silly giving them though ,not what i thought , not as good as i be
just because i sent an order of these jelly beans br to my oldest son in he travels br a lot and enjoys a snack while he is driving and br he loves licorice jelly beans br br this would make a nice gift for any special person br in your life ,jelly belly , good for you
i have children under the age of and work so we are always on the go the product line has helped us immensely not just in the mornings but for afternoon snacks as well it is an easy way for my kids to grab a healthy snack while before we rush out the door to afternoon practices it is also an easy snack to toss in their and i do not have to worry about what they are eating while at school because they are not going to trade away their favorite snack the super banana in particular is my favorite they often fight over the last one ,great for , great for
baby loves this flavor and great because all organic and no crap in it i give this to her breakfast lunch or dinner not just for morning ,super banana , great product
these treats are perfect for my little dog i tried the assorted flavors and it was too much for his sensitive stomach the plan treats are perfect he is only lbs so these small treats are just right for his size i used to run out before i would remember to buy more so i am doing amazon subscribe and save no more worries about running out ,perfect my little dog , my dog loves these
my tiny maltese loves these he is always ready for his cookie he goes to the place i keep them in and stands there looking at the door he gets of them they are easy for his small mouth to chew and he loves them i tried the flavored ones but he did not like them as much as these and i did not like them either because of the colors amazon why did you take these off subscribe and save my is not happy about that nor am i please put these back on subscribe and save ,small big love , great for
my dog loves these small biscuits plain she loves playing with them and then eating them i tried the fancy flavored ones and she seemed to not really care for those then i bought some more of the plain small biscuits and she was happy again they help keep the teeth clean and to freshen the breath they have minerals and vitamins they add some variety to her diet i am very happy with this product ,my dog loves these , my dog loves these
my package was mailed out st and received on the rd in perfect condition the tap fit the with no trouble or leaks and is very easy to operate i had a few questions i emailed and received answers fast by the owner the gallon box of syrup is much smaller than i thought it would be about the size of a medium cheese cake box what i do is drain syrup into a washed out container and store it in the fridge the syrup cap has in it bottom second and top the top is oz so you would fill it to that times just remember after you water you remove oz of water or the liter bottle will over flow when adding the oz of syrup gallon are a good way to test if this is right for you before paying high price for the gallon ,real diet dr pepper , not as good as it is
it is not cheap probably a little overpriced but very high quality ingredients no meat by products ,my cats love this product , not as good as
vendor shipped promptly and the product arrived in excellent condition this is an extremely well made product containing no grain fillers i had to purchase the entire case not knowing if my feline would even like it it would have been nice if the vendor would allow sample purchases of select varieties rather than an entire case ,canned cat food , great product
i would not buy this particular yogi tea again because i hate the taste of licorice anise the flavor of the licorice and fennel seed is very dominant making it a sort of sickly sweet flavor which was not what i was hoping for with my burning throat i think a better blend would be something with more heat like ginger which is why i usually drink yogi cold season instead for the same purpose br br with a sore throat its reasonable to suffer through a yucky flavor if it makes a discernible difference but this tea did not do that ,one flavor that did not work for me , not as good as i like
are the predominant form and are the type found in the quaker oats box or granola steel cut oats are associated with and are basically oats that have been chopped into even sized pieces ground oats associated with are just that ground into relatively fine pieces these crackers are made with ground oats olive oil wheat flour wheat bran skim milk solids salt and baking soda note that there is no sugar and that salt is listed at the end these are not the kind of cracker that you eat plain although i enjoy them that way but instead are designed to be used as a base for a or served with a bit of jam if you want sweetness these are simple oat cakes that may not appeal to the american taste buds accustomed to sweet flavored salty crackers they are delicious and wholesome and make a good snack ,these are not but are very good , not as good as i be
in spite of this product being named cajun style please do not worry about it being too hot it has just the right amount of flavor not too overpowering and not too bland i fried some with it and a family friend said it was the best fish he ever tasted br br a suggestion for those who like really crispy fish is to combine the product with corn meal before frying i use a ratio br br buying it this way from amazon is a money saver because of the free shipping and amazon great price i saved about a box compared to buying it from the supermarket also having it shipped to me is much more convenient br br i fully recommend golden cajun fish fry mix i believe you will be pleased buying it from amazon ,love it , not as good as i be
i ordered this for my birthday i got birthday money from family and i ordered a couple of goodies perfume and this cocoa i love hot chocolate and i am always looking for new ones to try based on the first review i decided to go ahead and order i will probably not reorder mixed by itself into hot water it seems to lack thickness it also has too much of an artificial raspberry taste i like hershey bliss raspberry chocolate much better i have been adding one spoonful of the kitchen to my regular cocoa to give it a raspberry boost but by itself it does not stand up to the test i plan on finishing the three remaining cans over time by using it as a stir in additive to other cocoa ,on the of good but something , not as good as it is
kitchen irish creme hot cocoa mix has got to be the most tasting cocoa on the market we originally bought this cocoa to use as a base for but quickly decided it was way to good to waste in a mix the flavor is rich and smooth we have made it a part of our down for bed time procedure a couple of cups together and just relax br br kitchen to the cocoas as delicious and decadent and they are being extremely ,there is good and then there is wonderful , great hot cocoa
after several less successful stews with curry powder i turned to this curry sauce mix br it is incredibly easy to get delicious curry stew with simple food only with my basic cooking while the way of cooking curry in br though it is my that good cuisine should be made from scratch but his time i just to its convenience to get exactly the taste i want with such a simple process br one small problem is that it is too mild for me though it is labeled medium hot ,very easy to get what i want , best ever
my first time having curry rice br br but boy i cooked this stuff exactly how you are supposed to br br taste t bad i guess a little strong though br br it was thick like ice slush it was over bearing and the spice was pretty intense br br i do not think i will get it again i guess it is good stuff seen it in some curry making used often but not for me as it it is way to thick br br i had potatoes onions and pork prepared to perfection mixed with it and i could not taste them at all i could not taste the pork or anything only the sauce ,way to thick yuck , not as good as it is
we tried this formula because it is lactose free my baby does not have any other issues just lactose intolerant br we found that it smells bad does not mix well into water and my baby would not drink a drop ,disapointed , best popcorn ever
my baby has not died yet br br if your baby has food allergies and your doctor this stuff and you love your baby it is certainly worth every penny as expected my daughter is still alive and she is doing well ,it did not my baby , great product
these are the best chocolate chips i have ever tasted in my life yes they are pricey but it does not matter because they last forever and you use about half the amount of the regular ones due to the richness of them so so so good if you love chocolate you will love these chips ,buy these now , great chips
craving another piece second one was just as good third and fourth followed pretty quickly as well if you like your caramels super chewy and soft then you do not need to refrigerate these i did not refrigerate the first four pieces the second four i stuck them in the fridge overnight the next morning i had one as a pre coffee snack i could not have just one at a time and i ate my second one soon after the refrigerated ones were just as good if you like your caramels a little harder unfortunately since i down this bag so fast my stomach is not happy with me and i am unhappy as i have no more caramels if you are craving caramels do not want the sugar do not mind the maltitol effects and can be content with one caramel a day then these are for you ,ate all pieces in hit the for stomach not so happy , good but not great
makes the best sugar free candy available so many sugar free candies are overloaded with and that has its side and after effects these don t ,best sugar free candy , best stuff ever
we found these sugar free caramels to be delicious a pinch of sea salt the buttery sweet flavor br price is a little high but worth it for the quality ,yum , delicious
the quality of this tea is star it is in sealed bags we are trying it out to see if helps our skin ,very fresh tea , great tea
the pack is a great gift idea because omaha steaks packages them in two boxes of this makes it cheaper than the pack if you are buying more than one quantity omaha is always fast at shipping too though i have had other omaha steaks products i have only purchased these as gifts so i cannot comment on taste ,great price great gift , delicious
these steaks came out really good but the bacon does not have much flavor and does not seem to add to the steaks the size of the steaks are perfect though and i would recommend it unless you are looking for a lot of bacon flavor ,are ok but bacon does not have much flavor , good but not great
after purchasing these steaks for myself i found then to be so easy to store and very tasty when bbq d i decided to share them with my family and friends as gifts they just loved them ,good tasting and great gift , great taste
good idea but the company should use a better soil maybe darker it is hard to tell if the soil is wet or dry present blows away when i water it finally sprouted and i will to a regular top soil when it grows more at least with soil you can tell when it is dry right now i will give it small amounts of water weekly until that happens very disappointed with this product ,plant in a can , not as good as it is
my grandchildren love the sour gummy vitamins they really liked the sour gummy worms by but alas i cannot find them these were a good second choice the big problem is keeping them from eating more than ,a hit , great taste
i was glad to know that amazon has this product in their groceries section br though the shipping was individually priced do not know whether there was any option to pack the glass jars br anyway i liked the fast service ,excellent service , not as good as it is
from taste to texture makes the best pasta i have ever eaten i will never buy cheap grocery store brand pasta again ,wonderful pasta , best ever
guy for a little injury he had these zukes make it real easy to give him the pill since they are moist we just put the pill inside and press it all around the pill that way he does not even know he is taking it trying to give him pills with the wellness treats does not work so well since they are dryer br br edit september br br anyone else notice that they seem different the last couple packs we bought were dryer and brittle they also were not as potent as the other ones were he does not seem to like them as much any more i do not know if the bags we bought were partially opened so they dried out by the time the were delivered or if their recipe changed i will buy some more and see how they turn out a little disappointed ,the price is right , great product
i have a mini poodle he cannot chew biscuits or rawhide textures but these treats are soft enough and still provide some workout for his gums and remaining teeth br i appreciate the fact that the ingredients are domestic and it is manufactured in the us ,safe easy to tasty for dogs , great for
my golden retriever loves them you can them into squares if you want smaller treats ,treats , great for
these are not the tough durable jerky that i was expecting but small soft chewy squares they break up easily into tiny bb sized balls maybe per square and my puppies will do anything for them best training on the market ,better than or , good but not great
my dog loves the how these treats smell and taste they are special treats for her they are healthy mildly chewy low calorie treats so it is perfect they are a good compliment to her regular chicken jerky treats from creek ranch br i usually each into or pieces while training ,healthy tasty treat , my dog loves these
my soft coated wheaten terrier loves these treats they are his special treat that brings him back in a heated run when we call him ,good dog treats , dog treats
our dogs love these healthy treats i like them because they have no wheat corn or soy in them the soft squares make a nice sized treat for our little girls notice that the first ingredient is lamb an luxury for a dog treat ,on the lamb , my dog loves these
used to buy in different packaging light blue with a see through dog shape against a grass green background unfortunately it was completely not the same thing these treats were actually like jerky tough and brittle i give my dog soft treats because he does not chew the damn things and he on these horrible things i had to toss them out br br note that the zuke jerky naturals with the other packaging http www amazon com zukes jerky naturals beef dp b have always been moist and soft and i have never had a problem with those i suspect that this batch was not new packaging as i had thought but very old packaging these may be the same treats i usually feed my dog just having sat on a shelf for years in any case these were completely different treats and not safe to feed my dog ,and , not as good as i like
i am constantly looking for healthy dog treats that are not crazy expensive these are one of the better deals i could find when considering cost ounce my lab absolutely loves them and they are good for him too the treats are soft and moist which is a plus for my dog they could easily be broken into smaller pieces but i generally just give my dog a whole one when he does something good i would not keep them in my pocket because they do smell a bit it is not an overly offensive smell but strong enough that you do not want to carry it around with you all day br br i definitely recommend these for all dogs ,loves them , my dog loves these
these treats are one of my dog favorites i like this company they make a lot of great treats and the ingredients are from the u s ,great treat , my dog loves these
we normally do not buy expensive treats tend to stick to dry biscuits but we got these for all of the family dogs as stocking stuffers for christmas they were a huge hit our dog is willing to do anything imaginable to get one of these my boyfriend mom who totally her had not seen these before and her dog loved these like crazy as well so she went out bought a bunch more when they ran out also they are natural and there are no ingredients so they are good for your pooch br br just to these do not actually have the consistency of jerky they are little squares of what looks like pressed meat product clearly our dogs do not care and consume these with great enthusiasm so still very highly recommended ,dogs love these , my dog loves these
have never made him sick no matter how many he eats during a training and he goes absolutely nuts when he me open the bag br br i ve purchased the smaller sized treats by zukes but they seem to be harder and are too big to offer a small dog as a treat yet too difficult to split into smaller pieces so i find the square shaped ones to be much easier to use for training br br they can get hard if the bag is left open so you need to make sure to close the bag immediately i read another poster mention that putting a damp paper in the bag will the moisture to the treats so i will have to try that if i forget to close a bag which happens br br overall a healthy and practical treat i am really glad i found these ,the only treats i will use , my dog loves them
my pooch loves these treats he will do trick or just to get his zuke br seriously these things will make your dog do anything so buy two bags ,candy for dogs , great treat
great product i am new to the brand but have fallen in love with these products not as soft as one reviewer states to replace a pill pocket very hard to stores so the best place to buy is here ,soft and yummy , great product
my dog is very picky to say the least he is super cute but is very picky about treats he will not eat any biscuits does not like most fake meat treats and will not eat bacon because of this he has hurt many an eager pet shop feelings however he loves these treats we just adopted him from the shelter and his previous owners did not teach him much these treats are making training so much easier he will do almost anything for them br br they re pretty big so you can rip them up into much smaller pieces they will dry out if you leave the package open so they have to be sealed each time br br i know i am most of the other reviews when i say this but these are fantastic treats ,my picky dog loves these treats , my dog loves these
my dog loves these treats in all varieties they are easy to break in half as well the resealable bag is a plus ,my dog favorite treats , my dog loves these
if your dog likes naked bars then this is the same consistency it is hard and sometimes my dog will eat it he will just leave it it is quite hard ,not happy about this , my dog loves it
great i have a dog who is very allergic to lots of stuff and this is safe for him because of no grain corn wheat etc the dogs love the taste i use them for training br ,treats , great for
this is a good product with great price i received the treat and was very pleased with the product and package ,treat for dog , great taste
my dog is a service dog and she is kind of out in the woods lots so this is a very good training tool and treat plus i can share them with other dog if i see fit ,very dog treat , my dog loves these
my dog lives for these treats cannot wait to see us leave in the morning when i give him a few ,great treats , my dog loves these
the lamb jerky soft treats are the first product we tried from zuke they were a big hit and continue to be one of my little favorite treats br soft jerky squares approx can easily be split into pieces we use them for her training play sessions and she seems to especially love it when the reward is the zuke soft lamb jerky br although she performs just as eagerly when the reward is the a href http www amazon com gp product b c zuke ounce mini bakes dog treats peanut butter n a or the zuke mini bakes chicken n cherry so i guess we are with zuke ,lamb jerky treats up , my dog loves these
i try to stick to all natural products in my household that goes double for my dog she is a super with a strong stomach but that does not mean i want to take any chances these seem like quality treats and she really enjoys them i have purchased several flavors and she loves them all will definitely buy them again ,great treats , my dog loves these
we have two cats and four dogs the cats seemed to like this treat but the dogs turned up their noses at it one of them a eats just about everything and he would not touch it he tried it and left it laying on the floor ,do not like this one , my cat loves it
they smell rather smokey so i was not sure my dogs would like them they are rather particular but they love them just re ordered more ,dogs love them , my dog loves these
my boston terrier loves these they are great kong toy fillers besides being tasty they are made in america and they are highly recommend ,tasty and good for your dog , my dog loves these
my dog loves zuke treats and this one is no he did not like them as much as the chicken but they still keep his interest i will be cutting them up to use at puppy class zukes are the only thing other than hotdogs that will get his attention ,great treat , my dog loves these
i use this to train my dog and while he is a picky he usually likes these they go a longer way too since i break them into pieces ,terrific for training , my dog loves these
my month old puppy loves these and has even learned how to go to bed in order to get his paws on one zuke is quite a consistent brand and our pup loves everything we have bought by this company so far my husband and i like knowing we are giving him a tasty treat that is also natural and is made in america amazon usually has these for a little bit cheaper than most of the pet stores in our area which is also nice ,our mini loves jerky , great for
buster is a shelter dog and a little picky in his eating sometimes i have tried a lot of food treats and some things he will not eat at all or is allergic to note he has no problems with steak that i have seen lol br br the zuke line of products are now his favorites i have tried several items in the zuke line and he loves all of them the jerky naturals lamb has a strong smell thus a strong flavor too i guess and he really goes for that br br usa made too so all in all highly recommended ,loves these , great product
i am impressed with the quality of these dog treats amazon seems to sell these treats for the best price and i will continue to order these in the future my dog really likes the lamb variety and they smell very good i reccommend these to any animal lover ,good healthy dog treat , great treat
our month old puppy loves these she would do anything to get one i love the ingredients and knowing that i am giving my dog something good for her we have had the bag for a few days now and they are still as soft as ever which is great these treats do kinds smell but that should mean they are delicious to a dog right ,yummy treats , great for
these are great treats love that these are all natural plus my puppy loves the size of them easy for him to eat ,my puppy loves this , my dog loves these
this is very good dog treat our loves them it is her favorite they are so the older dogs with few teeth can enjoy them ,jerky dog treats lamb oz , dog loves them
our two dogs just love these treats one old and one younger but both are active the older dog teeth are not the best these treats are easy for him to chew it seems like the younger one them whole he is so eager to get them oh and watch your fingers too ,dogs come , my dog loves these
dogs love em i mix the treats in their dog food and they wolf it down within a minute ,great treats , my dog loves them
what more can i ask for great ingredients and my dog loves these she will do back for em very good great price too ,good ingredients and my dog loves em , great treat
these treats are probably the healthiest treat i have ever given my dogs they smell so good i actually want to try them but have not done it yet my dogs absolutely love them ,best dog treat , my dog loves these
these treats are all natural so i feel good about rewarding my one year old yellow and she appears to really enjoy the size and the texture as well as the taste of zuke ,favorite treat , great treat
my have liked everything that zukes makes however i think the lamb jerky is their favorite nice and smelly just what a dog wants ,my love them , great product
labs are not known to be picky eaters gross i know but wow these zuke are at the top of their we will do anything just please can we have one list no toxic stuff in them either ,big hit with the , good for you
my miniature schnauzer just loves these treats that is the best review i can give treats ,love at first bite , great product
i had a really picky dog who refuses any kind of biscuit type treat offered to him he eats some soft treats and loves these ,pick dog pick , dog loves them
my schnauzer loves these treats i sometimes get the mini treats in chicken so i can give him a few throughout the day or on walks i do not want him to get overweight since he is a small boy i would highly recommend them ,loves them , great product
my dog loves these snacks and they do not have artificial ingredients br br they come in a resealable bag which is good they do get a bit hard if they are not kept sealed up ,great snacks , my dog loves these
our loves these treats so does our cat and we love that they have fresh fruits and veggies in them yeah ,loves it , great product
my dog will do just about anything for this treat also each treat can be cut easily into for small pieces for training ingredients listed are good quality i had no ill effects from giving to my dog beef was the flavor i purchased this time ,love this treat , my dog loves these
my min pin snickers seems to enjoy the heck out of these small treats they are the perfect size for his tiny little mouth thank you ,dog treats lamb , great treat
we started off our dog with zuke mini treats as puppy rewards now that she is bigger she needs more these natural treats fit easily inside her kong toys and in the middle of her treat balls and give her something different we recommend zuke to everyone my dogs love them and they are made without corn fillers or by products which are things i check for when purchasing any treats ,we love , my dog loves these
these treats went over really well with our three dogs they are about inch square pieces so they are a good size for our larger dogs i also really like that they have high quality ingredients and do not give our dogs the like do ,my dogs love these , my dog loves these
my dogs go crazy when they smell these they are great for training too i put them in their kong toys also and that keeps them busy for a while ,one of the dog favorite treats , my dog loves these
well my dog seems to like these very much let us see if someone can offer free shipping on these ,want a treat , dog loves it
it is difficult to tell from the pictures and the description but these are not really jerky dried strips of meat but are smallish moist chewy treats made from meat and other ingredients i suppose meat goop formed into a shape think vs a potato chip anyway our dog seems to approve not sure it even touched the sides the beef lamb and salmon varieties she tried all disappear in the blink of an eye a tasty treat for your dog made in the usa but just not the jerky i was hoping for ,not really jerky , good for you
under the product features it says all meats are sourced in the usa i got the lamb and rice jerky today and it says on the package the lamb comes from new zealand that is a huge of this product on the product page very disappointed ,lamb not in like says , great product
my chihuahuas like this treat but they do not eat it with enthusiasm they hesitate and let it sit quite often ,ok but not something they eat with , good
this blueberry and vanilla tea is excellent i love all kinds of tea and friend gave me some of this blueberry and vanilla and a couple other varieties they are all great but this is one of my favorites the blueberry vanilla taste is delicious but not overpowering i usually add milk and sugar to my tea but this one does not need it i highly recommend it ,excellent tea , great tea
bought through amazon as snap bits are difficult to find in pet stores my dog is on a diet and the only treats she can have are few cheerios baby carrots cut into little pieces and yes she eats them and ice cubes snap bits are her extra special treat and she knows when they are in my hand she really likes it when i roll one along the floor for her to chase after and it down ,excellent choice for my dog special treat , my dog loves these
these are nice little training treat sized cookies that can easily be gobbled by my and lb dogs i imagine they would work good too for the smaller dogs as a more regular sized treat they are about the size of a each ,another product my dogs love , great snack
very light in taste but very also very fast service i really enjoyed this i would order this again ,tea , great taste
i am a huge coffee drinker and love the k cups for making one cup quickly before leaving for work in the morning while there are many choices i prefer a bold strong coffee first thing in the morning wolfgang puck french roast is absolutely delicious strong and not at all bitter and makes a great first cup of coffee i would highly recommend to all bold coffee drinkers ,absolutely delicious coffee , great coffee
we always drink or emeril thought we would try something different not too many decafs to choose from we were pleasantly surprised that this had a great taste with a full bodied flavor i like my coffee on the milder side so i can even get cups from kcup ,yummy , not good
good subtle flavored coffee for the mid afternoon pick me up a bit of sweetness without being overdone wish it was available in whole bean as i like it stronger then the keurig cup can make it ,good stuff , good coffee
wolfgang puck chef reserve colombian dark roast is basically what they said it will be dark roast but not too strong acidity is on a low side but with plenty of pleasant taste at the same time you can drink this coffee black w o the need for the sweetener and or milk this coffee is in european tradition and will please many people i would recommend it after dinner but not if you need a jolt to wake you up ,what was , not as good as i have
they included more grind in the cups to provide you with a stronger coffee br br there now you know br br my mom goes for the extra only because she has been addicted to caffeine for over years now and she is frugal and thinks this gives her more back for her buck or rather mine since i buy it for her br br unfortunately out of all the extra bold k cups she is tried she claims that the wolfgang puck is the tasting she is tried it in both the medium small serving sizes format and both have produced less than full flavor drinks br br if you are looking for a rich flavorful strong tasting coffee try the a href http www amazon com gp product b hkzz a van houtte cafe medium roast extra bold coffee count k cups for keurig brewers pack of a ,my this was not as flavorful as other extra , great coffee
this coffee brews very weak like a light roast w p chef reserve pods are just over half full put pod on scale and it is less coffee than normal pods stick with normal pods or extra bold if you like coffee that taste like coffee ,weak even on small cup , good coffee
i wanted to like this coffee i did we have tried other wolfgang puck k cups and have been pleasantly surprised this just did not impress us bitter aftertaste and it has an almost sickeningly vanilla flavor smells great while brewing but just does not live up to it in the cup i am really disappointed because i now have a box and a half of this product that we really do not want to drink great price though ,really disappointed , not as good as i be
i purchased these for my mom and she loves them she does not like bold coffee flavors but is more into the sweet and more flavorful varieties this one combines the taste of the islands with a smooth nutty flavor amazon had a great price on these and this is something that i can actually recommend ,drink the of , good for you
this is a good decaf coffee but i have never before had a k cup dump the contents into my cup it is extremely irritating to deal with grounds in the cup and machine when deliberately choosing a system that avoids the mess ,great taste cup , great coffee
warning this is a strong flavor br br i thought that this would be blue mountain y oh no it is like rum flavored or something yuk ,if you want a flavored coffee okay but yuk , not as good as it is
i admit i do not usually drink decaf but this is a favorite in my office and i felt it deserved a good rating ,a favorite at the , good coffee
this wolfgang puck coffee tasted great the vanilla flavoring is just right some reviews said it was not so good not enough flavoring etc do not pay attention to the bad reviews posted on here i have never posted for a product and i have tried many different k cups this is a good k cup and do not hesitate to purchase this flavor because of the negative feedback i almost hesitated and did not buy it and then i figured i would give it a shot it was worth it to pick the vanilla francaise flavor you will enjoy it it tastes better then other k cup vanilla flavors like folgers and van houtte flavor ,just right and you will love it , great coffee
i saw the good reviews of this jamaica me crazy coffee but the reviewers all seem to around whether it has coconut vanilla caramel rum or coffee flavorings br br first off i am not getting any coconut from it at all some vanilla but it mostly tastes like coffee with irish cream in it br br in fact after i drank a cup i had to go pick up my son from kindergarten and it occurred to me that some of the other parents might think i was drinking coffee while we waited for the class to let out br br but its good i recommend it to anyone who likes flavored coffee not really anything else like it and i have tried about different k cup flavors ,good coffee but up the flavors , good coffee but not a great price
with so many choices now i thought i give this a try br the donut shop decaf is by far my favorite and this one falls short ,not the best , not as good as it is
i used to do the subscribe and save with the timothy world kona but due to the fact that the price on timothy jumped so high i went to wolfgang puck breakfast in bed pleasantly surprised and i must say that i like this one much better than the kona it seems much more smoother but the taste still retains a nice warm mellow bold flavor great way to start the day oh and i love the name of this coffee ,very smooth not acidic , good coffee
what i usually buy so i thought i would try something new i normally drink coffee people donut shop which is a nice strong cup of coffee this was a little disappointing it is called a medium roast but when i brew a large cup my keurig has size options it looks like strong tea very light in color it makes a very weak cup of coffee when i brew the smallest cup possible it is a tiny bit better but i prefer a large cup of strong coffee think i may try the rodeo drive or sorrento but this one is just too weak and light for me oddly enough the first time i tried donut shop i thought it was too strong as i had been used to weaker coffees now that i have started drinking the stronger varieties it is hard to go back to brown water ,too mild for me , not bad
i was not expecting this one to be so rich or full yet it has a smoky finish that is typical of a french roast but does not taste burnt i think alot of times a french roast tastes thin and yet bitter instead of full and smoky but not this one very pleased with it and will definitely order again if you like a stronger cup in the morning without being bitter give this one a try ,a must have on my , not as good as it is
very good product but i need to use it the setting on my b to really enjoy the depth ,wolfgang puck columbian , great
as a french roast fan i bought this brand of k cup with high expectations considering the name attached to it i was disappointed it has a hearty aroma and full bodied flavor but leaves a bitter aftertaste br br if you are a lover of the more robust roasts i would recommend trying the a href http www amazon com gp product b l y a coffee people kona blend island style extra bold k cups for keurig brewers pack of a instead it is a smooth blend with none of the bitterness that delivers that kick you are likely looking for ,a strong yet bitter brew , not good
not too bold not too weak not bitter good way to start if your not into the real strong coffees my husband and i have added the wolfgang puck breakfast in bed line and the rodeo drive flavors to our buying ritual ,definitely a good breakfast , not good
this flavored k cup is not out of this world but is not horrible in my opinion it is way more flavorful than the wolfgang puck hazelnut k cup we love flavored coffee in our house and so i would go with this one again worth a try ,decent , not bad
never had hawaiian hazelnut before so i did not know what to expect but it turns out it is pretty good not as flavored as say dd but nonetheless pretty good i have it on subscription now along with the german chocolate cake another one of my favorite flavored k cups ,than expected , not as good as it is
this has made me into a coffee lover very mild and easy on the stomach but with a great flavor love it ,breakfast in bed coffee k cups , great coffee
nice light cup of coffee definitely not a bold brew but it is smooth and gentle on the stomach good for those mornings when you over did it the night before would buy again ,enjoyable cup of coffee , good coffee
this is a very balanced and smooth light coffee great for a first cup of the day ,smooth and light breakfast coffee , great coffee
this is a great cup of hazelnut coffee smooth and balanced with no chemical aftertaste my husband and i like it so much that we have ordered it twice directly from the keurig manufacturer so glad that it is now available on amazon through subscribe and save ,wonderful coffee , great coffee
i am amazed how many are being so easily fooled what you are seeing is a generic ingredient list that covers multiple coffees what it is saying based on the photo i see above is that if the coffee type you have is straight coffee then all it contains is arabica coffee but if what you are drinking is a flavored coffee then the ingredients in it are arabica coffee and flavorings but if what you are drinking is a decaf variety then it contains arabica coffee that has been decaffeinated with acetate as is standard br br so if you are not holding a decaf variety then there is no decaffeinated beans it is nothing more than generic catch all ingredients that apply to variety you happen to be looking at br br think people lol ,it is not decaf people , not as good as i like
nowhere in the description does it mention anything about this coffee being flavored i am still not sure what flavor it is some type of nut i wrongly assumed that jamaican coffee would be similar to the blue mountain coffee which jamaica is known for how silly of me to assume that i hate flavored coffees so i was so disappointed to now own boxes of such a horrible coffee it only says flavored very small on the box so i did not notice it before i opened it hopefully i can pawn it off to visitors and buy some regular bold coffee flavored coffee for myself ,flavored coffee , not as good as i be
no where in the description does it mention that this is a flavored coffee by the name i thought it was a jamaican blue mountain blend but its flavored with a weak tasting hazelnut not very good ,misleading , not as good as it is
i was in a hurry and did not read the reviews i trusted amazon description and it did not indicate it was flavored coffee and that it was not jamaican it is very lightly flavored with vanilla so it isnt too bad i feel cheated ,non flavored coffee beware , not as good as it is
i thought this was a jamaican blend or roast but turns out it is simply a heavily flavored coffee the flavor tastes artificial like fake maple syrup flavoring we have three coffee drinkers in our house and none of us could get past the first few sips now i have to find a home for the rest of it so it does not go to waste ,flavored not for us , not as good as i be
